request_id,endpoint,response_time_ms,status_code,timestamp,linked_incident_id
REQ500000,/api/balance,140.0,401,2026-07-10 08:31:22.000783,
REQ500001,/api/kyc/verify,318.5,200,2026-08-13 04:25:51.048523,
REQ500002,/api/kyc/verify,215.3,401,2026-03-25 07:13:45.205779,
REQ500003,/api/kyc/verify,17.0,500,2026-08-18 05:45:20.617684,INC401720
REQ500004,/api/login,99.9,200,2026-07-30 10:54:09.377201,
REQ500005,/api/kyc/verify,459.4,200,2026-06-15 06:52:52.223085,
REQ500006,/api/beneficiary,295.6,200,2026-07-29 10:43:28.395470,
REQ500007,/api/beneficiary,879.0,200,2026-04-19 12:12:39.165074,
REQ500008,/api/transfer,120.3,200,2026-06-29 11:34:02.714130,
REQ500009,/api/beneficiary,436.9,200,2026-04-06 10:26:39.779324,
REQ500010,/api/login,244.3,200,2026-07-30 02:18:12.956198,
REQ500011,/api/beneficiary,224.7,200,2026-06-20 17:12:27.115801,
REQ500012,/api/balance,480.6,200,2026-03-01 21:47:44.704597,
REQ500013,/api/transfer,74.5,200,2026-06-26 10:55:26.560639,
REQ500014,/api/transfer,599.7,200,2026-06-06 11:48:30.335040,
REQ500015,/api/beneficiary,317.0,200,2026-07-25 02:40:57.815409,
REQ500016,/api/statement,42.7,200,2026-05-26 04:18:57.994853,
REQ500017,/api/beneficiary,201.7,200,2026-04-14 20:29:23.689839,
REQ500018,/api/kyc/verify,131.0,201,2026-07-06 04:38:14.076985,
REQ500019,/api/kyc/verify,222.4,200,2026-08-13 17:58:28.224328,
REQ500020,/api/kyc/verify,590.7,200,2026-03-02 14:49:21.150103,
REQ500021,/api/transfer,488.4,502,2026-08-14 00:12:00.110690,
REQ500022,/api/beneficiary,151.4,200,2026-08-03 23:04:19.373267,
REQ500023,/api/balance,352.8,429,2026-06-28 17:46:19.530824,
REQ500024,/api/kyc/verify,263.8,200,2026-05-11 20:14:00.017604,
REQ500025,/api/kyc/verify,370.7,200,2026-03-15 09:29:50.256808,
REQ500026,/api/balance,406.5,200,2026-07-15 21:20:14.902469,
REQ500027,/api/balance,656.1,200,2026-08-12 09:05:31.916669,
REQ500028,/api/login,131.7,200,2026-06-27 01:07:05.438422,
REQ500029,/api/transfer,84.2,200,2026-06-08 18:46:24.880933,
REQ500030,/api/statement,491.6,503,2026-05-17 10:04:58.145024,INC402004
REQ500031,/api/login,194.0,200,2026-08-07 07:34:54.962567,
REQ500032,/api/kyc/verify,275.6,500,2026-06-13 00:07:41.320090,INC405366
REQ500033,/api/login,265.3,200,2026-06-07 22:11:47.047109,
REQ500034,/api/login,261.5,200,2026-07-13 04:42:26.007892,
REQ500035,/api/statement,247.1,200,2026-06-11 16:29:50.830806,
REQ500036,/api/transfer,379.7,429,2026-08-09 08:42:09.836175,
REQ500037,/api/beneficiary,24.6,200,2026-08-08 09:03:27.156169,
REQ500038,/api/beneficiary,139.3,200,2026-08-11 09:43:51.246821,
REQ500039,/api/balance,488.9,200,2026-05-16 10:47:48.570668,
REQ500040,/api/login,594.7,200,2026-06-25 14:48:12.618445,
REQ500041,/api/transfer,339.9,200,2026-07-13 19:17:14.501523,
REQ500042,/api/kyc/verify,367.0,429,2026-07-07 15:06:46.698669,
REQ500043,/api/statement,750.9,200,2026-05-30 12:09:01.174478,
REQ500044,/api/balance,232.9,200,2026-07-20 01:38:56.100502,
REQ500045,/api/transfer,385.6,200,2026-04-18 08:23:19.307047,
REQ500046,/api/login,69.2,200,2026-05-24 08:07:12.378153,
REQ500047,/api/balance,44.1,200,2026-07-20 06:25:13.751884,
REQ500048,/api/statement,383.5,200,2026-08-06 16:54:12.837963,
REQ500049,/api/login,346.6,200,2026-06-20 22:30:32.754190,
REQ500050,/api/login,227.6,200,2026-06-28 01:53:44.138948,
REQ500051,/api/transfer,247.0,200,2026-07-24 09:49:16.542657,
REQ500052,/api/transfer,280.5,429,2026-07-07 12:03:31.699919,
REQ500053,/api/login,100.7,200,2026-03-07 09:33:12.930241,
REQ500054,/api/transfer,83.6,200,2026-03-26 07:47:59.447521,
REQ500055,/api/statement,559.8,200,2026-04-09 01:19:39.598999,
REQ500056,/api/statement,471.5,200,2026-07-05 22:33:20.258976,
REQ500057,/api/balance,292.4,201,2026-04-24 09:23:51.149169,
REQ500058,/api/kyc/verify,848.7,200,2026-04-08 13:03:45.850658,
REQ500059,/api/statement,182.7,200,2026-04-13 22:11:09.835198,
REQ500060,/api/beneficiary,27.3,200,2026-06-19 12:45:34.324259,
REQ500061,/api/kyc/verify,113.0,201,2026-05-01 17:21:49.874829,
REQ500062,/api/statement,29.8,200,2026-03-03 09:44:03.432771,
REQ500063,/api/balance,209.8,200,2026-05-21 02:59:56.104111,
REQ500064,/api/login,166.0,200,2026-04-06 18:43:31.539458,
REQ500065,/api/beneficiary,433.5,200,2026-04-05 06:24:32.652265,
REQ500066,/api/login,82.7,400,2026-07-05 15:58:37.297272,
REQ500067,/api/login,383.5,200,2026-05-10 06:00:10.800536,
REQ500068,/api/statement,175.0,200,2026-05-07 01:28:42.403481,
REQ500069,/api/balance,221.9,200,2026-05-26 09:31:40.034500,
REQ500070,/api/kyc/verify,376.7,400,2026-07-04 07:51:32.858157,
REQ500071,/api/balance,173.2,200,2026-07-25 09:49:41.242378,
REQ500072,/api/statement,274.7,400,2026-03-02 04:27:32.310560,
REQ500073,/api/kyc/verify,204.4,200,2026-05-20 10:16:29.136234,
REQ500074,/api/beneficiary,1190.6,200,2026-06-24 06:52:06.785687,
REQ500075,/api/kyc/verify,7982.9,200,2026-04-20 06:57:58.651887,
REQ500076,/api/login,433.3,200,2026-03-14 15:33:23.641457,
