log_id,service,level,message_code,timestamp
LOG600000,payments-api,INFO,CACHE_HIT,2026-04-26 09:34:33.438659
LOG600001,payments-api,INFO,REQUEST_OK,2026-04-28 02:31:30.931019
LOG600002,auth-service,WARN,RETRY_ATTEMPT,2026-05-12 16:00:50.417354
LOG600003,ledger-svc,INFO,APP_START,2026-03-17 19:28:33.249369
LOG600004,kyc-service,INFO,CACHE_HIT,2026-04-07 23:23:05.135449
LOG600005,notification-svc,ERROR,DB_CONN_FAILURE,2026-08-19 13:08:08.342148
LOG600006,notification-svc,INFO,APP_START,2026-06-14 11:23:55.996106
LOG600007,payments-api,INFO,CACHE_HIT,2026-03-04 07:21:22.293666
LOG600008,auth-service,WARN,CACHE_MISS,2026-05-12 13:36:10.633406
LOG600009,core-banking,INFO,REQUEST_OK,2026-07-03 05:24:56.491202
LOG600010,payments-api,INFO,REQUEST_OK,2026-07-30 16:20:56.945244
LOG600011,notification-svc,WARN,SLOW_QUERY,2026-03-30 21:26:44.972007
LOG600012,auth-service,WARN,CACHE_MISS,2026-05-01 18:07:05.563143
LOG600013,notification-svc,INFO,REQUEST_OK,2026-08-11 01:15:38.496288
LOG600014,ledger-svc,INFO,CACHE_HIT,2026-06-15 16:54:17.828197
LOG600015,auth-service,INFO,REQUEST_OK,2026-04-02 05:32:10.022029
LOG600016,payments-api,INFO,CACHE_HIT,2026-03-28 00:48:59.372557
LOG600017,notification-svc,INFO,APP_START,2026-05-16 22:48:50.466808
LOG600018,auth-service,INFO,REQUEST_OK,2026-05-22 13:43:47.699367
LOG600019,core-banking,INFO,REQUEST_OK,2026-03-28 12:46:28.313899
LOG600020,core-banking,WARN,RETRY_ATTEMPT,2026-07-23 06:47:30.834911
LOG600021,ledger-svc,INFO,REQUEST_OK,2026-03-18 23:52:47.387258
LOG600022,kyc-service,INFO,APP_START,2026-04-03 17:20:24.856310
LOG600023,ledger-svc,INFO,APP_START,2026-08-09 03:26:01.153784
LOG600024,core-banking,INFO,APP_START,2026-06-20 00:53:30.438100
LOG600025,notification-svc,INFO,REQUEST_OK,2026-08-01 13:55:49.950616
LOG600026,kyc-service,INFO,APP_START,2026-07-12 05:12:15.331252
LOG600027,ledger-svc,WARN,RETRY_ATTEMPT,2026-06-23 11:42:36.677136
LOG600028,payments-api,INFO,REQUEST_OK,2026-06-06 07:45:51.225179
LOG600029,payments-api,WARN,RETRY_ATTEMPT,2026-05-31 07:34:03.865341
LOG600030,auth-service,INFO,REQUEST_OK,2026-04-04 21:18:14.795735
LOG600031,kyc-service,INFO,REQUEST_OK,2026-06-11 11:02:31.241800
LOG600032,auth-service,INFO,APP_START,2026-03-31 18:42:34.285392
LOG600033,core-banking,INFO,APP_START,2026-03-19 19:00:43.047340
LOG600034,core-banking,INFO,REQUEST_OK,2026-07-14 21:01:59.577171
LOG600035,auth-service,ERROR,AUTH_FAILURE,2026-02-26 22:24:12.308867
LOG600036,payments-api,WARN,RETRY_ATTEMPT,2026-06-18 03:10:09.006517
LOG600037,kyc-service,INFO,CACHE_HIT,2026-06-24 17:09:33.810663
