incident_id,service,severity,opened_at,resolved_at,sla_breached,rca_present,owner_team
INC400000,payments-api,SEV3,2026-04-18 16:18:58.423441,2026-04-18 18:08:40.018638,False,True,security
INC400001,core-banking,SEV4,2026-04-29 21:38:12.846431,2026-05-05 00:12:37.195840,True,True,security
INC400002,payments-api,SEV4,2025-08-25 22:18:35.249655,2025-09-03 06:59:50.938548,True,True,sre
INC400003,notification-svc,SEV4,2026-02-19 01:19:31.260060,2026-02-26 13:12:30.327946,True,True,security
INC400004,notification-svc,SEV3,2026-03-28 01:56:20.933248,2026-03-28 03:25:02.930146,False,True,sre
INC400005,kyc-service,SEV4,2026-06-17 18:12:44.978456,2026-06-19 03:58:50.742860,False,True,sre
INC400006,notification-svc,SEV3,2026-06-26 16:55:03.461383,2026-06-27 05:20:26.112036,False,True,core-banking
INC400007,ledger-svc,SEV4,2025-09-01 11:54:00.459017,2025-09-02 22:55:25.168531,False,False,security
INC400008,kyc-service,SEV3,2026-03-24 17:53:06.362232,2026-03-25 02:18:54.124845,False,True,payments
INC400009,ledger-svc,SEV3,2025-11-01 00:57:28.714083,2025-11-01 19:55:32.118242,False,False,core-banking
INC400010,auth-service,SEV3,2026-04-30 04:00:51.128001,2026-04-30 20:33:25.068311,False,True,platform
INC400011,auth-service,SEV3,2026-04-02 01:39:06.154791,2026-04-02 02:33:11.538179,False,True,sre
INC400012,core-banking,SEV3,2026-01-18 17:24:52.992878,2026-01-18 22:51:04.513925,False,False,core-banking
INC400013,kyc-service,SEV3,2025-09-18 21:33:52.189118,2025-09-21 09:03:18.772203,True,True,sre
INC400014,core-banking,SEV4,2026-04-01 00:28:41.039113,2026-04-01 06:31:58.482669,False,True,core-banking
INC400015,kyc-service,SEV3,2025-12-10 22:20:53.374942,2025-12-11 03:34:26.871177,False,True,platform
INC400016,core-banking,SEV4,2026-06-22 12:17:44.742290,2026-06-24 12:13:04.364489,False,True,sre
INC400017,payments-api,SEV4,2025-12-10 18:41:28.775774,2025-12-12 10:25:13.023582,False,False,core-banking
INC400018,payments-api,SEV2,2026-04-23 03:29:26.195160,2026-04-23 06:29:47.387358,False,True,platform
INC400019,notification-svc,SEV3,2025-09-19 09:14:27.002140,2025-09-19 12:31:48.016776,False,True,platform
INC400020,ledger-svc,SEV3,2025-12-30 01:09:29.477585,2026-01-01 07:49:04.086397,True,True,payments
INC400021,auth-service,SEV4,2026-03-23 21:24:58.248858,2026-03-24 10:06:16.131739,False,True,platform
INC400022,core-banking,SEV3,2026-04-12 13:11:43.845630,2026-04-13 03:41:54.612198,False,True,platform
INC400023,notification-svc,SEV4,2026-08-18 00:26:45.335947,2026-08-19 09:33:35.977771,False,True,security
INC400024,ledger-svc,SEV3,2025-12-08 10:52:26.956357,2025-12-09 06:23:54.900228,False,True,platform
INC400025,notification-svc,SEV2,2026-07-12 04:58:33.180019,2026-07-12 07:44:02.319162,False,True,payments
INC400026,notification-svc,SEV3,2026-08-07 20:46:04.337765,2026-08-08 16:51:57.575151,False,True,sre
INC400027,kyc-service,SEV3,2026-07-01 05:05:55.091102,2026-07-01 11:29:54.149987,False,False,core-banking
INC400028,ledger-svc,SEV3,2025-10-17 05:46:59.078972,2025-10-17 07:45:42.298720,False,True,security
INC400029,kyc-service,SEV4,2026-05-18 18:05:29.948311,2026-05-18 21:29:53.958351,False,True,security
INC400030,kyc-service,SEV3,2025-09-05 06:10:27.661329,2025-09-05 08:50:41.765744,False,False,sre
INC400031,auth-service,SEV3,2026-05-24 17:13:14.799842,2026-05-24 22:04:31.607005,False,True,security
INC400032,kyc-service,SEV3,2026-02-07 07:05:47.659675,2026-02-07 14:31:33.164257,False,False,security
INC400033,auth-service,SEV4,2026-01-31 21:58:45.660528,2026-02-08 00:37:10.974402,True,True,payments
INC400034,kyc-service,SEV4,2026-08-14 02:32:05.413249,2026-08-16 02:06:05.341599,False,True,core-banking
INC400035,ledger-svc,SEV4,2025-12-18 20:24:12.062472,2025-12-20 11:41:04.541042,False,True,sre
INC400036,kyc-service,SEV3,2025-09-24 19:20:32.120147,2025-09-25 03:40:56.391801,False,True,core-banking
INC400037,payments-api,SEV3,2026-01-07 19:03:28.488048,2026-01-10 15:35:21.388714,True,True,sre
INC400038,payments-api,SEV3,2026-07-07 01:13:36.366736,2026-07-09 03:56:48.059980,True,False,payments
INC400039,auth-service,SEV3,2025-11-23 22:58:58.417838,2025-11-24 20:25:48.674874,False,True,security
INC400040,ledger-svc,SEV3,2025-11-05 11:20:35.354262,2025-11-05 21:06:56.395752,False,True,security
INC400041,ledger-svc,SEV4,2026-03-06 19:45:35.466879,2026-03-08 12:17:43.409070,False,True,payments
INC400042,notification-svc,SEV3,2025-11-02 17:07:59.026515,2025-11-04 11:56:40.165859,True,True,platform
INC400043,auth-service,SEV3,2025-11-07 00:26:18.906466,2025-11-08 19:27:18.707538,True,True,payments
INC400044,ledger-svc,SEV4,2025-10-29 17:13:57.014973,2025-10-30 16:43:52.429786,False,True,security
INC400045,ledger-svc,SEV3,2025-12-18 10:37:00.586212,2025-12-18 17:24:30.258495,False,False,sre
INC400046,core-banking,SEV4,2026-02-15 10:55:27.982080,2026-02-17 19:52:16.415074,False,True,payments
INC400047,notification-svc,SEV2,2026-03-15 15:45:59.559841,2026-03-15 17:37:30.247574,False,False,payments
INC400048,notification-svc,SEV2,2026-07-09 19:39:08.339152,2026-07-10 01:34:42.393351,False,True,platform
INC400049,auth-service,SEV4,2025-10-18 17:27:16.302500,2025-10-23 21:49:10.529437,True,True,platform
INC400050,auth-service,SEV4,2025-10-02 00:26:08.429821,2025-10-03 17:51:30.371193,False,True,platform
INC400051,kyc-service,SEV4,2026-06-20 22:39:59.880815,2026-06-23 05:16:57.944589,False,False,platform
INC400052,auth-service,SEV4,2025-10-29 06:19:53.405252,2025-10-30 05:32:45.162158,False,True,security
INC400053,ledger-svc,SEV4,2025-09-25 18:51:14.872503,2025-09-28 05:21:16.049389,False,True,security
INC400054,kyc-service,SEV3,2026-01-08 09:13:27.364163,2026-01-08 22:46:32.418582,False,True,core-banking
INC400055,core-banking,SEV4,2025-10-18 12:44:13.500114,2025-10-18 14:08:37.605125,False,True,core-banking
INC400056,kyc-service,SEV3,2026-06-11 18:26:12.750118,2026-06-12 04:37:43.495103,False,True,core-banking
INC400057,core-banking,SEV3,2026-01-13 00:21:03.453670,2026-01-14 17:11:11.890728,True,True,security
INC400058,auth-service,SEV3,2026-02-02 23:20:37.760960,2026-02-03 00:54:08.718275,False,True,security
INC400059,ledger-svc,SEV3,2025-09-04 21:08:03.123092,2025-09-06 11:47:08.836653,True,False,payments
INC400060,payments-api,SEV4,2026-05-29 09:21:47.994177,2026-06-02 16:10:33.296480,True,False,security
INC400061,auth-service,SEV3,2026-08-18 03:08:17.943103,2026-08-19 15:16:20.622713,True,True,payments
INC400062,ledger-svc,SEV1,2025-08-22 20:12:20.767670,2025-08-22 23:09:39.899835,True,True,core-banking
INC400063,kyc-service,SEV3,2026-04-13 07:01:19.470510,2026-04-13 18:31:29.231801,False,True,security
INC400064,kyc-service,SEV3,2026-05-23 06:50:58.659145,2026-05-23 19:16:46.162137,False,True,payments
