category,value
valid_currency,INR
valid_currency,USD
valid_currency,EUR
valid_currency,GBP
valid_account_status,active
valid_account_status,closed
valid_account_status,dormant
valid_account_status,blocked
valid_http_status,200
valid_http_status,201
valid_http_status,400
valid_http_status,401
valid_http_status,429
valid_http_status,500
valid_http_status,502
valid_http_status,503
valid_http_status,504
valid_kyc_status,verified
valid_kyc_status,pending
valid_kyc_status,rejected
valid_kyc_status,expired
