transaction_id,account_id,customer_id,amount,currency,timestamp,beneficiary_id,channel
TXN300000,ACC207025,CUST103620,2548.66,GBP,2026-06-27 21:49:38.318644,BENE35223,mobile
TXN300001,ACC200152,CUST105151,978.07,INR,2025-09-14 08:13:23.810901,BENE38717,api
TXN300002,ACC202278,CUST104308,65076.63,INR,2026-03-09 16:46:43.503513,BENE46342,mobile
TXN300003,ACC205042,CUST108626,10187.57,INR,2026-01-09 03:17:33.540545,BENE23484,web
TXN300004,ACC213691,CUST104544,11182.67,INR,2026-05-12 13:00:16.381732,BENE37646,mobile
TXN300005,ACC209778,CUST101756,5080.2,INR,2025-10-31 20:21:56.430447,BENE3590,mobile
TXN300006,ACC201263,CUST100335,9517.93,INR,2026-01-05 05:29:03.897056,BENE40600,web
TXN300007,ACC204159,CUST109190,2893.01,INR,2025-12-25 22:42:48.593807,BENE39698,mobile
TXN300008,ACC202324,CUST105899,5571.34,INR,2025-12-12 11:32:15.196191,BENE9445,api
TXN300009,ACC212537,CUST108585,6035.18,INR,2026-02-04 04:14:58.211166,BENE4279,api
TXN300010,ACC210678,CUST103129,7656.59,INR,2026-01-10 22:31:34.487486,BENE17673,web
TXN300011,ACC213498,CUST109697,3172.84,INR,2025-12-08 23:03:39.680920,BENE40542,web
TXN300012,ACC210834,CUST108814,3603.16,INR,2026-04-29 21:49:50.363132,BENE29950,atm
TXN300013,ACC212249,CUST107715,10352.37,INR,2026-03-05 05:12:15.328345,BENE42628,mobile
TXN300014,ACC214266,CUST104174,7042.29,INR,2025-09-27 22:11:35.986825,BENE28685,mobile
TXN300015,ACC202452,CUST105415,12975.7,EUR,2026-05-23 05:54:12.613034,BENE19077,mobile
TXN300016,ACC212775,CUST109369,1339.83,INR,2026-01-22 10:14:31.616430,BENE13007,web
TXN300017,ACC201244,CUST109567,10044.15,EUR,2026-01-22 22:12:01.760553,BENE13834,mobile
TXN300018,ACC213777,CUST106726,1698.1,INR,2025-10-04 19:13:04.970318,BENE35306,atm
TXN300019,ACC204709,CUST101292,23795.15,INR,2025-08-31 03:13:59.851405,BENE33767,branch
TXN300020,ACC202545,CUST106695,5293.14,INR,2025-10-27 14:03:01.620888,BENE41357,mobile
TXN300021,ACC213225,CUST105075,4694.39,INR,2026-01-11 19:19:40.254230,BENE33280,mobile
TXN300022,ACC209671,CUST108441,6106.99,INR,2025-12-16 18:06:51.378530,BENE29811,mobile
TXN300023,ACC208661,CUST109135,7477.39,INR,2025-12-17 10:52:35.166863,BENE49318,web
TXN300024,ACC202446,CUST101963,13567.69,INR,2025-11-12 14:09:21.168548,BENE24880,mobile
TXN300025,ACC205585,CUST101923,18958.92,USD,2025-11-12 19:20:55.390650,BENE15689,api
TXN300026,ACC203925,CUST107710,748.71,INR,2025-10-05 02:14:47.461502,BENE38849,mobile
